Director,Frequent_Collab_Gross,Non_Frequent_Collab_Gross
Steven Spielberg,,209910004.0
Robert Zemeckis,,180611429.0
Peter Jackson,,294964508.0
Ron Howard,,147546862.7142857
Michael Bay,,264768275.57142857
Christopher Nolan,,311295178.5
James Cameron,,411801827.8333333
Tim Burton,,201398334.83333334
Jon Favreau,,337488450.3333333
Richard Donner,,110560067.6
