Director,Actor/Actress,Movies
Christopher McQuarrie,Simon Pegg,"['Mission: Impossible - Dead Reckoning Part One', 'Mission: Impossible - Fallout', 'Mission: Impossible - Rogue Nation']"
Christopher McQuarrie,Tom Cruise,"['Mission: Impossible - Dead Reckoning Part One', 'Jack Reacher', 'Mission: Impossible - Fallout', 'Mission: Impossible - Dead Reckoning Part Two', 'Mission: Impossible - Rogue Nation']"
Christopher Nolan,Christian Bale,"['The Dark Knight', 'The Dark Knight Rises', 'The Prestige', 'Batman Begins']"
Christopher Nolan,Michael Caine,"['The Dark Knight', 'The Prestige', 'Batman Begins']"
Clint Eastwood,Clint Eastwood,"['Unforgiven', 'Space Cowboys', 'Million Dollar Baby', 'The Outlaw Josey Wales', 'Gran Torino', 'High Plains Drifter', 'The Mule', 'A Perfect World', 'Pale Rider', 'Heartbreak Ridge', 'The Bridges of Madison County', 'Cry Macho', 'Sudden Impact', 'Absolute Power', 'True Crime', 'Play Misty for Me', 'The Gauntlet', 'The Eiger Sanction', 'Blood Work', 'The Rookie', 'Firefox']"
Clint Eastwood,Morgan Freeman,"['Unforgiven', 'Million Dollar Baby', 'Invictus']"
Clint Eastwood,Sondra Locke,"['The Outlaw Josey Wales', 'Sudden Impact', 'The Gauntlet']"
Clyde Geronimi,Hamilton Luske,"['One Hundred and One Dalmatians', 'Cinderella', 'Alice in Wonderland', 'Peter Pan', 'Lady and the Tramp']"
Clyde Geronimi,Wilfred Jackson,"['Cinderella', 'Alice in Wonderland', 'Peter Pan', 'Lady and the Tramp']"
Colson Baker,Mod Sun,"['Good Mourning', 'Good Mourning', 'Downfalls High']"
Damien Leone,David Howard Thornton,"['Terrifier 2', 'Terrifier', 'Terrifier 3']"
Danny Boyle,Ewan McGregor,"['Trainspotting', 'Shallow Grave', 'T2 Trainspotting']"
Danny DeVito,Danny DeVito,"['Matilda', 'Death to Smoochy', 'The War of the Roses', 'Throw Momma from the Train']"
Dario Argento,Daria Nicolodi,"['Phenomena', 'Profondo rosso', 'Tenebre', 'Inferno', 'Opera']"
David Ayer,Michael Peña,"['Fury', 'End of Watch', ""Levon's Trade""]"
David Cronenberg,Viggo Mortensen,"['Eastern Promises', 'Crimes of the Future', 'A History of Violence', 'A Dangerous Method']"
David Fincher,Brad Pitt,"['Fight Club', 'Se7en', 'The Curious Case of Benjamin Button']"
David Gordon Green,Andi Matichak,"['Halloween Ends', 'Halloween', 'Halloween Kills']"
David Gordon Green,James Jude Courtney,"['Halloween Ends', 'Halloween', 'Halloween Kills']"
David Gordon Green,Jamie Lee Curtis,"['Halloween Ends', 'Halloween', 'Halloween Kills']"
